Image,Number,Type,Cell,Row,Label,Area,Mean Grey,Mode Grey,Min Grey,Max Grey,IntDen,RawIntDen,Channel,Stack
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,1,0.095,2442,395,395,5459,231.768,126984,2,9
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,2,0.095,3047.942,612,612,5740,289.278,158493,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,3,0.095,3130.904,3918,829,5706,297.152,162807,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,4,0.095,3315.75,1505,1505,5209,314.695,172419,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,5,0.095,3905.942,922,922,8089,370.71,203109,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,6,0.095,5610.327,1820,1820,9927,532.472,291737,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,7,0.095,3700.385,664,664,7228,351.201,192420,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,8,0.095,5566.769,854,854,9366,528.338,289472,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,9,0.095,3898.327,908,908,6571,369.987,202713,2,12
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,10,0.095,6651.596,2349,2349,11417,631.298,345883,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,11,0.095,4914.173,1521,1521,8440,466.401,255537,2,12
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,12,0.095,6310.558,1478,1478,13792,598.93,328149,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,13,0.095,3981.154,1068,1068,7882,377.848,207020,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,14,0.095,4299.5,2364,966,9731,408.062,223574,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,15,0.095,5527.346,1651,1651,11030,524.596,287422,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,1,16,0.095,4187.077,2627,1624,7712,397.392,217728,2,11
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,2,17,0.095,3284.712,975,975,6126,311.75,170805,2,8
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,2,18,0.095,2660.5,1214,1214,4742,252.506,138346,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,2,19,0.095,3567.519,1959,1959,6320,338.591,185511,2,10
020720-BE EPS8 KO Mouse 5.lif-Mouse 5 IHC-3 good/Series002 Lng,1,KO,1,2,20,0.095,3240.731,1867,1867,4920,307.575,168518,2,10
